sample	init_young	init_poisson	opt_young	opt_poisson	init_wcs	opt_wcs	init_zcompress_min	init_zcompress_max	opt_zcompress_min	opt_zcompress_max	init_zcompress_sim_min	init_zcompress_sim_max	opt_zcompress_sim_min	opt_zcompress_sim_max	init_zcompress_sim_2x2x1_min	init_zcompress_sim_2x2x1_max	opt_zcompress_sim_2x2x1_min	opt_zcompress_sim_2x2x1_max
0024_121	0.03124761716640775	0.09348711723548078	0.03174284064638502	0.09591657687883808	1.1312980072517845e+04	3.0587639178993863e+03	-1.3368833263330333e+02	6.5481198971453964e+01	-7.3633747712291679e+01	4.6321001933865531e+01	-5.4657043109839364e+01	2.4773486222069586e+01	-3.4571169530553448e+01	1.7977137942107518e+01	-6.3029508151718197e+01	3.3102491629698712e+01	-3.8050022124807398e+01	2.2700784496283568e+01	
0024_130	0.0313030367397684	0.2189200145137374	0.03145643534775584	0.214189125246669	8.0044127136170700e+03	3.1473610693908772e+03	-1.3217088147179166e+02	6.3440457565042145e+01	-8.6113636685948677e+01	4.5272966396964897e+01	-5.2553682002781194e+01	2.5774063266905454e+01	-4.1648365570379625e+01	2.0799595559051628e+01	-5.9848909173628698e+01	3.1505896923447921e+01	-4.2284295995651156e+01	2.1544751899051924e+01	
0024_153	0.04941756353087351	0.1570659564653131	0.04998787763611638	0.1523324662153619	1.0107108797354404e+04	2.6615882671816576e+03	-1.4708220881937913e+02	7.3115321605893413e+01	-1.0362631492810928e+02	6.0977438635300771e+01	-7.0462133498793222e+01	3.3828686514634818e+01	-5.1235082672922474e+01	2.8997197230380966e+01	-7.1654291248598753e+01	3.3082948066460112e+01	-5.2651397045870333e+01	3.0222020099003000e+01	
0024_156	0.04957346715820443	0.3748374240217285	0.04995163417391966	0.3715860522360118	6.4018617342464795e+03	3.2651321284777173e+03	-2.0335050979021875e+02	1.0712620861501581e+02	-1.6696640658754319e+02	6.6156482732372382e+01	-5.6305676786834937e+01	4.0049844656007558e+01	-5.0993113143874353e+01	4.1653434074348318e+01	-5.5761075067513438e+01	3.9257612131652934e+01	-5.3609780618873266e+01	4.2954835556805925e+01	
0024_159	0.04957825095320414	0.3442004370070046	0.0496425254355178	0.3444252817715922	6.8516101132806270e+03	3.6726165727269640e+03	-2.4381527327798955e+02	1.5808722229898214e+02	-1.0698440816003696e+02	7.0696018298311060e+01	-7.8160713422720093e+01	5.5665359008216058e+01	-4.2027558315033225e+01	4.5241257710777987e+01	-8.1500613374748852e+01	5.5811729554893283e+01	-4.2658251220847532e+01	4.5873182492962549e+01	
0024_183	0.07810798836310565	0.1917607999738712	0.07765957526623045	0.1924895386906084	7.1215384263540964e+03	2.0680012822304257e+03	-2.0631155666244103e+02	5.8786553877304826e+01	-1.1713721635544196e+02	6.3683803477671617e+01	-1.0115469862174459e+02	3.8479152589424508e+01	-5.7945988152066654e+01	3.0206849298073859e+01	-1.0349496014282444e+02	3.6800742208712713e+01	-5.8101430198351160e+01	3.0463792938101601e+01	
0024_192	0.07883792868934407	0.1254175942039584	0.0802678859278925	0.123821809816784	8.3617353443359934e+03	2.2168708885051569e+03	-2.1327192490968196e+02	8.9720893870033720e+01	-1.1760398089359400e+02	6.4442609846671658e+01	-8.3079571789849069e+01	4.2177205744637412e+01	-5.8871198627004048e+01	2.9170822368809294e+01	-9.9119478841959605e+01	4.1026359254579887e+01	-6.0640030192042012e+01	3.2507810409872853e+01	
0024_195	0.07887990931884509	0.3154250000126396	0.07934118452958094	0.3166847270810904	4.4652010486916724e+03	2.6383041148455818e+03	-1.8275737762107670e+02	8.0465846362971973e+01	-1.2015653773132482e+02	6.1040306667574157e+01	-6.0371346330111265e+01	3.1768201246813355e+01	-5.9907769916340818e+01	5.1261286786012541e+01	-8.2233032567094313e+01	3.8143848021495870e+01	-5.9664522032140681e+01	5.1559834754087220e+01	
0024_197	0.0790945989701029	0.37536671810907	0.07981782070565537	0.3740860231213394	5.6917788792333395e+03	2.9846585018052742e+03	-2.7797375357162957e+02	1.1241172328279956e+02	-2.0003388829119081e+02	7.3660751574090739e+01	-8.5300576097734975e+01	4.2421011353661207e+01	-6.0242326848028760e+01	4.6879750114844150e+01	-1.1185193409880033e+02	5.1168002279833047e+01	-6.2216521414771925e+01	4.9028949648367238e+01	
0024_199	0.09879127448965726	0.2503125103273063	0.0999926598341823	0.2489514563419652	6.7427470910727734e+03	1.6814739208788228e+03	-1.6249465282328686e+02	6.8342265996905098e+01	-1.4373753945316705e+02	7.1145998757441149e+01	-6.8545877754105348e+01	3.0378378960063522e+01	-6.2270086361252638e+01	3.0586808738538316e+01	-6.8038372322066451e+01	3.1719581493270486e+01	-6.5781584375976493e+01	3.2779735045155171e+01	
0024_215	0.1248278584993572	0.3129532614254613	0.1247502259608899	0.3139356158168708	5.7277507899677112e+03	1.6546814095387783e+03	-2.6167500642320425e+02	9.9567564380620951e+01	-1.3567918582699480e+02	8.1660987781693009e+01	-1.0220108872672253e+02	7.4298912035221576e+01	-6.0458177858999569e+01	5.6707791332961435e+01	-1.2201391421769951e+02	7.1139735899375040e+01	-5.9938003650941134e+01	5.7076629581896213e+01	
0024_223	0.1253922801995335	0.280065223344057	0.1255881368899395	0.2832353103790338	5.7059478243831927e+03	1.4542321661944154e+03	-2.1775817776620258e+02	8.7132959972764198e+01	-1.4422016370030792e+02	7.2884721111267410e+01	-8.9771320372585549e+01	6.2224171001989212e+01	-6.8379837007804753e+01	3.8415039452213271e+01	-9.1474634330648669e+01	5.9560491238889718e+01	-6.8796207014189534e+01	3.8683933122582566e+01	
0024_224	0.1255737066346999	0.3458366186338895	0.1257910825852766	0.3483598764060645	4.5540908449564749e+03	1.6937717816909424e+03	-3.2289573900200577e+02	1.0892197947862272e+02	-1.9554788892877761e+02	7.5584408316212304e+01	-1.0343784420098015e+02	4.3657111370610380e+01	-6.0825113894609601e+01	6.1548952858053390e+01	-1.4138862106286624e+02	5.8444922531248025e+01	-6.2253200709771896e+01	6.3027946309799496e+01	
0024_229	0.1570988841665149	0.250201525609581	0.1577669722580464	0.2565393697334193	4.3560152657991812e+03	1.4629968018530665e+03	-2.4714346885684128e+02	8.5636495561749513e+01	-2.1932695112055686e+02	8.1984221843666091e+01	-1.0980263839994059e+02	5.4196365142951890e+01	-1.0415282275117796e+02	3.8678807808211907e+01	-1.1222680327345346e+02	5.1121957410428642e+01	-1.0537172037881098e+02	3.9854720669829284e+01	
0024_234	0.1574653090830809	0.3750122159466625	0.1571978339972596	0.3770029187224397	3.7325707002405775e+03	1.3512090972665690e+03	-3.4009857968136100e+02	2.0669924305257999e+02	-1.9581354480029461e+02	8.6069511070890627e+01	-9.2378719373403825e+01	6.2980378311665774e+01	-6.5360217194132218e+01	5.6587195001608592e+01	-9.1990229125720006e+01	6.3011714370729329e+01	-6.7384522088100184e+01	5.7219194905258199e+01	
0024_235	0.1574236381696448	0.2815079396979908	0.1588952737177945	0.2803337554909524	5.5149970847146496e+03	1.4706018878900263e+03	-1.9886073298842456e+02	9.0640628106578276e+01	-2.3296566161682262e+02	9.0416860899137106e+01	-7.7026262685057901e+01	7.6215479924500329e+01	-1.0008209835399305e+02	4.9149426597986704e+01	-9.0168515387819781e+01	7.3129562787430601e+01	-1.0050668370121326e+02	4.9516036523477581e+01	
0024_236	0.1575207896832104	0.3439656293701698	0.1574604436262247	0.3447995718798375	3.7956283880692740e+03	1.4981512123033681e+03	-3.4437088019210955e+02	1.1419867071656135e+02	-1.6673134965090074e+02	7.4686601696206466e+01	-1.0603667873151052e+02	4.9903298446936596e+01	-6.4566178759421845e+01	8.2206182997931080e+01	-1.4568486187664115e+02	5.9361976679420643e+01	-6.6672726021349789e+01	8.4248199878668316e+01	
0024_24	0.00619817542165847	0.2502534514612788	0.00626626627041475	0.2546424499925624	1.9854849029505160e+04	1.1734966725144681e+04	-6.3601666489622630e+01	3.0105418703740348e+01	-3.9473668421985508e+01	2.6970525327117311e+01	-2.8226371780279386e+01	1.1770673535938798e+01	-1.9043371786115664e+01	1.2128121133654483e+01	-2.9093748567060477e+01	1.1999709646554168e+01	-1.9046407477467170e+01	1.2914082544762147e+01	
0024_243	0.1581407278459014	0.3108953172729939	0.1591840077490588	0.3137636926478818	4.5912392852964003e+03	1.2741494872326791e+03	-2.5122959237291300e+02	1.0824872140491027e+02	-1.5915266348722045e+02	8.9629214416708024e+01	-9.4980601463278546e+01	7.5557807530528962e+01	-6.7310509461997256e+01	4.8057775612529575e+01	-1.1266177910659205e+02	7.3532426834551813e+01	-6.7974604302308279e+01	4.9365388349456303e+01	
0024_251	0.198407248399167	0.2195131633322934	0.1996786238476508	0.2234022074494283	4.4042216279813920e+03	1.1123446162233793e+03	-2.0856141153171268e+02	8.3333468870073233e+01	-1.4812162946394795e+02	7.7911237363025364e+01	-1.0658941356574343e+02	6.2508526918848837e+01	-7.0491305271269525e+01	3.6026364380618176e+01	-1.0920605363711728e+02	5.8592324620346773e+01	-7.0707288073892826e+01	3.6472310029078827e+01	
0024_267	0.250051478442606	0.1875303743808274	0.2560487517112988	0.1865359706372323	4.8936976778211920e+03	1.0393713891041291e+03	-2.7079162322193798e+02	8.1119522137385133e+01	-2.1291628190014433e+02	7.4776449847095037e+01	-1.2343235572317751e+02	7.7485033428066330e+01	-1.0497978925236771e+02	3.3508321355361254e+01	-1.2611496818442265e+02	7.1769544865485813e+01	-1.0624130969641261e+02	3.4264578367177606e+01	
0024_274	0.2508271783471761	0.4068618332793087	0.2521738193723599	0.4074399866782848	3.3227289259430108e+03	1.1716321551262959e+03	-5.2649804169537526e+02	1.3391644683778387e+02	-3.1727301719066224e+02	1.1396603263034631e+02	-1.2223965083745981e+02	1.0065318870923556e+02	-9.2346468184727854e+01	8.0871381042923204e+01	-1.2209627390965835e+02	1.0080013273698188e+02	-1.0345135267654247e+02	8.0472993533065619e+01	
